HOST,ID,NAME
thepioneerwoman.com,IAB8,Food & Drink
theridechannel.com,IAB1,Arts & Entertainment
thesavory.com,IAB8,Food & Drink
thestreet.com,IAB12,News
thesun.co.uksolhomepage,IAB1,Arts & Entertainment
thesuperficial.com,IAB1,Arts & Entertainment
theundefeated.com,IAB17,Sports
theverge.com,IAB12,News
thisisinsider.com,IAB1,Arts & Entertainment
thump.vice.com,IAB1,Arts & Entertainment
time.com,IAB12,News
time.commoney,IAB13,Personal Finance
timesunion.com,IAB12,News
tmz.com,IAB1,Arts & Entertainment
today.com,IAB1,Arts & Entertainment
todaysgolfer.co.uk,IAB17,Sports
townandcountrymag.com,IAB1,Arts & Entertainment
traditionalhome.com,IAB10,Home & Garden
trails.com,IAB7,Health & Fitness
travelandleisure.com,IAB20,Travel
travelchannel.com,IAB20,Travel
trome.pe,IAB17,Sports
tv.com,IAB1,Arts & Entertainment
tvguide.co.uk,IAB1,Arts & Entertainment
tvguide.com,IAB1,Arts & Entertainment
tvland.com,IAB1,Arts & Entertainment
tvline.com,IAB1,Arts & Entertainment
twistmagazine.com,IAB1,Arts & Entertainment
ultimateclassicrock.com,IAB1,Arts & Entertainment
univision.com,IAB1,Arts & Entertainment
uproxx.com,IAB1,Arts & Entertainment
urbania.ca,IAB10,Home & Garden
usatoday.com,IAB1,Arts & Entertainment
usmagazine.com,IAB1,Arts & Entertainment
utvdriver.com,IAB2,Automotive
variety.com,IAB1,Arts & Entertainment
varietylatino.com,IAB1,Arts & Entertainment
venturebeat.com,IAB12,News
veranda.com,IAB1,Arts & Entertainment
vh1.com,IAB1,Arts & Entertainment
vibe.com,IAB1,Arts & Entertainment
vice.com,IAB12,News
vidaysalud.com,IAB7,Health & Fitness
video.pbs.org,IAB1,Arts & Entertainment
vox.com,IAB12,News
washingtonpost.com,IAB12,News
wbaltv.com,IAB12,News
WCVB.COM,IAB12,News
weather.com,IAB20,Travel
weather.weatherbug.com,IAB10,Home & Garden
webmd.com,IAB7,Health & Fitness
whowhatwear.com,IAB18,Style & Fashion
wikia.com,IAB1,Arts & Entertainment
wmur.com,IAB12,News
womansday.com,IAB8,Food & Drink
womansday.com.au,IAB18,Style & Fashion
womansworldmag.com,IAB6,Family & Parenting
womenshealthmag.co.uk,IAB7,Health & Fitness
womenshealthmag.com,IAB1,Arts & Entertainment
womenslifestyle.com,IAB7,Health & Fitness
workingmother.com,IAB6,Family & Parenting
worldnow.com,IAB12,News
wtae.com,IAB12,News
wwe.com,IAB17,Sports
wwtdd.com,IAB1,Arts & Entertainment
Ahmed.com,IAB18,Style & Fashion
com,IAB2,Automotive
cuteness.com,IAB6,Family & Parenting
sweetyhigh.com,IAB1,Arts & Entertainment
test.com,IAB2,Automotive
theguardian.comuk,IAB12,News
vice.com,IAB1,Arts & Entertainment
wunderground.com,IAB1,Arts & Entertainment
wyff4.com,IAB12,News
x17online.com,IAB1,Arts & Entertainment
xxlmag.com,IAB1,Arts & Entertainment
yachtingmagazine.com,IAB20,Travel
yours.co.uk,IAB7,Health & Fitness
zdnet.com,IAB19,Technology & Computing
